date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2014-03-29","90
                                       ",98,67,74,16,64,1.22,21
"
                                        2014-03-30","129
                                       ",156,97,117,23,48,1.04,82
"
                                        2014-03-31","81
                                       ",84,59,67,14,46,0.64,99
"
                                        2014-04-01","67
                                       ",54,46,60,12,43,0.67,92
"
                                        2014-04-02","63
                                       ",46,45,62,15,52,0.58,68
"
                                        2014-04-03","68
                                       ",66,47,62,15,44,0.55,91
"
                                        2014-04-04","74
                                       ",64,46,93,26,61,0.67,74
"
                                        2014-04-05","87
                                       ",109,59,104,24,54,0.70,74
"
                                        2014-04-06","50
                                       ",11,18,52,10,30,0.37,84
"
                                        2014-04-07","58
                                       ",28,34,56,11,36,0.50,86
"
                                        2014-04-08","87
                                       ",69,64,75,16,63,0.75,57
"
                                        2014-04-09","90
                                       ",72,66,69,11,48,0.69,85
"
                                        2014-04-10","85
                                       ",74,59,76,13,55,0.65,89
"
                                        2014-04-11","69
                                       ",55,50,68,9,35,0.57,90
"
                                        2014-04-12","79
                                       ",102,57,65,11,45,0.79,49
"
                                        2014-04-13","66
                                       ",66,43,28,11,27,0.70,90
"
                                        2014-04-14","83
                                       ",76,61,79,14,52,0.75,101
"
                                        2014-04-15","79
                                       ",79,49,64,15,41,0.65,91
"
                                        2014-04-16","63
                                       ",56,42,58,10,47,0.64,67
"
                                        2014-04-17","182
                                       ",181,140,157,30,87,1.50,15
"
                                        2014-04-18","98
                                       ",141,72,45,18,45,0.87,63
"
                                        2014-04-19","46
                                       ",33,23,21,8,28,0.61,89
"
                                        2014-04-20","53
                                       ",34,34,48,9,28,0.55,93
"
                                        2014-04-21","64
                                       ",80,45,51,10,46,0.68,84
"
                                        2014-04-22","74
                                       ",88,53,63,14,56,0.76,79
"
                                        2014-04-23","102
                                       ",130,73,99,17,73,1.05,69
"
                                        2014-04-24","78
                                       ",75,53,62,11,32,0.67,98
"
                                        2014-04-25","55
                                       ",43,28,49,8,23,0.55,105
"
                                        2014-04-26","41
                                       ",21,16,21,7,22,0.51,81
"
                                        2014-04-27","85
                                       ",133,59,62,15,43,1.00,43
"
                                        2014-04-28","76
                                       ",116,55,62,19,40,0.84,57
"
                                        2014-04-29","102
                                       ",146,73,101,32,58,1.04,74
"
                                        2014-04-30","84
                                       ",66,60,91,18,66,0.89,72
"
                                        2014-05-01","122
                                       ",141,92,122,21,45,0.85,118
"
                                        2014-05-02","118
                                       ",161,83,149,30,49,0.92,95
"
                                        2014-05-03","68
                                       ",62,37,84,14,29,0.62,95
"
                                        2014-05-04","71
                                       ",100,48,80,16,58,0.90,53
"
                                        2014-05-05","63
                                       ",84,30,75,14,37,0.54,93
"
                                        2014-05-06","69
                                       ",72,35,85,16,41,0.53,97
"
                                        2014-05-07","69
                                       ",58,41,85,17,38,0.63,106
"
                                        2014-05-08","103
                                       ",118,72,112,23,53,0.92,91
"
                                        2014-05-09","67
                                       ",76,47,63,11,36,0.68,96
"
                                        2014-05-10","57
                                       ",84,39,47,6,24,0.65,86
"
                                        2014-05-11","57
                                       ",101,36,43,9,29,0.81,54
"
                                        2014-05-12","116
                                       ",182,83,94,23,52,1.14,99
"
                                        2014-05-13","84
                                       ",100,58,83,19,45,0.79,101
"
                                        2014-05-14","102
                                       ",139,72,76,19,46,1.06,107
"
                                        2014-05-15","86
                                       ",124,54,98,19,45,0.80,107
"
                                        2014-05-16","86
                                       ",84,52,99,17,51,0.69,110
"
                                        2014-05-17","88
                                       ",94,55,61,7,23,0.69,115
"
                                        2014-05-18","57
                                       ",48,27,42,7,23,0.59,101
"
                                        2014-05-19","61
                                       ",46,42,55,7,35,0.69,76
"
                                        2014-05-20","92
                                       ",88,67,64,14,44,0.89,67
"
                                        2014-05-21","125
                                       ",136,94,121,18,45,0.95,106
"
                                        2014-05-22","114
                                       ",118,72,84,12,31,0.69,118
"
                                        2014-05-23","50
                                       ",43,24,37,8,22,0.50,86
"
                                        2014-05-24","45
                                       ",37,22,40,8,19,0.47,82
"
                                        2014-05-25","114
                                       ",131,84,104,14,50,1.00,55
"
                                        2014-05-26","165
                                       ",178,114,207,22,53,1.02,87
"
                                        2014-05-27","189
                                       ",178,144,239,28,59,1.06,121
"
                                        2014-05-28","151
                                       ",175,109,192,34,67,0.90,98
"
                                        2014-05-29","126
                                       ",129,86,195,28,68,0.89,122
"
                                        2014-05-30","133
                                       ",120,93,172,28,59,0.82,109
"
                                        2014-05-31","73
                                       ",67,40,79,13,20,0.55,118
"
                                        2014-06-01","47
                                       ",39,20,29,7,17,0.52,86
"
                                        2014-06-02","64
                                       ",105,45,51,9,25,0.83,77
"
                                        2014-06-03","61
                                       ",82,41,55,15,35,0.78,84
"
                                        2014-06-04","81
                                       ",116,59,78,19,40,0.87,78
"
                                        2014-06-05","57
                                       ",45,39,54,11,37,0.68,79
"
                                        2014-06-06","70
                                       ",87,50,64,10,36,0.63,80
"
                                        2014-06-07","83
                                       ",121,58,76,10,29,0.63,103
"
                                        2014-06-08","57
                                       ",45,40,49,7,25,0.52,72
"
                                        2014-06-09","48
                                       ",34,29,44,8,20,0.54,83
"
                                        2014-06-10","42
                                       ",23,26,40,8,24,0.56,57
"
                                        2014-06-11","44
                                       ",16,28,43,10,27,0.57,69
"
                                        2014-06-12","74
                                       ",70,53,74,13,39,0.72,83
"
                                        2014-06-13","121
                                       ",139,82,120,21,54,0.87,115
"
                                        2014-06-14","139
                                       ",154,94,139,21,56,0.92,131
"
                                        2014-06-15","74
                                       ",53,50,81,12,42,0.66,70
"
                                        2014-06-16","39
                                       ",6,21,34,7,20,0.56,75
"
                                        2014-06-17","56
                                       ",51,36,53,10,40,0.89,65
"
                                        2014-06-18","50
                                       ",43,23,35,8,29,0.60,97
"
                                        2014-06-19","58
                                       ",76,36,46,6,23,0.58,101
"
                                        2014-06-20","52
                                       ",79,33,42,8,41,0.73,55
"
                                        2014-06-21","47
                                       ",60,29,33,8,34,0.66,53
"
                                        2014-06-22","41
                                       ",37,20,30,7,28,0.55,78
"
                                        2014-06-23","51
                                       ",47,34,44,9,36,0.66,56
"
                                        2014-06-24","78
                                       ",106,49,58,11,35,0.74,88
"
                                        2014-06-25","43
                                       ",40,22,26,8,32,0.70,75
"
                                        2014-06-26","40
                                       ",31,16,21,6,43,0.79,63
"
                                        2014-06-27","36
                                       ",19,21,25,8,37,0.77,59
"
                                        2014-06-28","120
                                       ",176,90,103,17,58,1.18,64
"
                                        2014-06-29","130
                                       ",166,97,104,24,53,0.99,94
"
                                        2014-06-30","88
                                       ",120,63,66,12,39,0.86,79
"
                                        2014-07-01","60
                                       ",59,42,47,7,31,0.69,65
"
                                        2014-07-02","68
                                       ",97,48,62,11,41,1.01,47
"
                                        2014-07-03","112
                                       ",170,80,95,21,39,1.15,81
"
                                        2014-07-04","69
                                       ",100,47,59,13,35,0.77,91
"
                                        2014-07-05","52
                                       ",61,29,48,9,25,0.63,66
"
                                        2014-07-06","74
                                       ",139,53,58,12,33,0.89,75
"
                                        2014-07-07","68
                                       ",86,45,57,17,37,0.79,66
"
                                        2014-07-08","41
                                       ",7,25,34,8,24,0.56,68
"
                                        2014-07-09","45
                                       ",32,24,44,11,20,0.68,40
"
                                        2014-07-10","127
                                       ",184,93,143,19,49,1.24,96
"
                                        2014-07-11","169
                                       ",180,127,176,15,55,1.17,94
"
                                        2014-07-12","113
                                       ",156,76,102,10,46,0.99,80
"
                                        2014-07-13","59
                                       ",86,40,51,10,33,0.93,71
"
                                        2014-07-14","107
                                       ",148,70,65,10,32,0.90,110
"
                                        2014-07-15","57
                                       ",82,38,48,8,52,0.85,75
"
                                        2014-07-16","94
                                       ",159,69,88,12,52,0.97,48
"
                                        2014-07-17","46
                                       ",40,23,45,9,22,0.57,51
"
                                        2014-07-18","37
                                       ",33,17,37,8,19,0.55,43
"
                                        2014-07-19","43
                                       ",48,22,45,10,24,0.56,53
"
                                        2014-07-20","45
                                       ",50,22,39,8,22,0.57,51
"
                                        2014-07-21","38
                                       ",26,19,33,8,19,0.53,61
"
                                        2014-07-22","38
                                       ",18,15,35,9,17,0.56,60
"
                                        2014-07-23","41
                                       ",34,15,43,6,14,0.50,39
"
                                        2014-07-24","48
                                       ",67,19,50,5,10,0.45,55
"
                                        2014-07-25","61
                                       ",95,36,61,12,27,0.72,71
"
                                        2014-07-26","133
                                       ",165,101,117,18,39,0.99,72
"
                                        2014-07-27","74
                                       ",85,51,69,12,29,0.67,68
"
                                        2014-07-28","69
                                       ",74,49,64,15,40,0.90,96
"
                                        2014-07-29","74
                                       ",70,46,53,12,27,0.64,72
"
                                        2014-07-30","38
                                       ",14,22,38,9,14,0.51,40
"
                                        2014-07-31","33
                                       ",12,14,32,10,13,0.51,33
"
                                        2014-08-01","26
                                       ",14,12,24,8,14,0.47,42
"
                                        2014-08-02","34
                                       ",24,19,31,10,22,0.70,49
"
                                        2014-08-03","86
                                       ",147,57,81,17,33,0.94,92
"
                                        2014-08-04","115
                                       ",161,73,104,17,36,0.97,125
"
                                        2014-08-05","69
                                       ",119,40,57,10,24,0.70,89
"
                                        2014-08-06","55
                                       ",80,28,47,11,22,0.72,75
"
                                        2014-08-07","37
                                       ",20,20,35,10,18,0.52,50
"
                                        2014-08-09","43
                                       ",46,28,40,8,35,0.59,41
"
                                        2014-08-10","72
                                       ",123,52,68,17,39,1.08,58
"
                                        2014-08-11","63
                                       ",86,34,47,12,27,0.66,94
"
                                        2014-08-12","56
                                       ",83,34,52,13,42,0.72,78
"
                                        2014-08-13","75
                                       ",151,45,61,9,22,0.66,98
"
                                        2014-08-14","45
                                       ",60,25,36,10,30,0.84,62
"
                                        2014-08-15","52
                                       ",48,33,49,14,43,0.82,66
"
                                        2014-08-16","58
                                       ",61,39,44,10,26,0.68,88
"
                                        2014-08-17","40
                                       ",31,23,31,8,31,0.68,78
"
                                        2014-08-18","59
                                       ",99,42,48,15,48,1.08,46
"
                                        2014-08-19","37
                                       ",43,20,22,10,48,0.76,61
"
                                        2014-08-20","39
                                       ",37,25,28,10,50,0.86,48
"
                                        2014-08-21","85
                                       ",104,57,76,18,49,1.03,84
