date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2014-03-27","294
                                       ",188,249,300,33,106,2.37,15
"
                                        2014-03-28","169
                                       ",172,127,170,24,66,1.69,38
"
                                        2014-03-29","72
                                       ",74,39,76,7,36,0.58,60
"
                                        2014-03-30","63
                                       ",39,31,77,8,57,0.54,47
"
                                        2014-03-31","172
                                       ",183,132,183,34,80,1.75,45
"
                                        2014-04-01","140
                                       ",178,105,118,16,60,0.94,74
"
                                        2014-04-02","131
                                       ",175,99,157,20,57,0.98,75
"
                                        2014-04-03","63
                                       ",48,22,79,5,36,0.46,59
"
                                        2014-04-04","91
                                       ",119,31,131,8,39,0.56,56
"
                                        2014-04-05","64
                                       ",34,21,80,5,29,0.38,74
"
                                        2014-04-06","97
                                       ",146,52,142,12,58,0.65,53
"
                                        2014-04-07","133
                                       ",178,97,175,19,62,0.80,79
"
                                        2014-04-08","224
                                       ",187,173,237,37,82,1.47,89
"
                                        2014-04-09","194
                                       ",184,121,238,19,50,0.90,78
"
                                        2014-04-10","271
                                       ",190,86,379,27,51,1.28,48
"
                                        2014-04-11","88
                                       ",107,59,112,16,60,0.96,53
"
                                        2014-04-12","131
                                       ",158,99,135,24,75,1.44,61
"
                                        2014-04-13","197
                                       ",174,151,183,25,71,1.28,88
"
                                        2014-04-14","284
                                       ",190,234,266,38,69,1.83,139
"
                                        2014-04-15","132
                                       ",159,91,142,16,61,0.97,48
"
                                        2014-04-16","83
                                       ",122,51,113,11,68,0.74,39
"
                                        2014-04-17","121
                                       ",149,91,124,18,70,1.38,48
"
                                        2014-04-18","181
                                       ",178,138,124,16,64,1.54,50
"
                                        2014-04-19","83
                                       ",160,61,83,14,64,0.78,49
"
                                        2014-04-20","82
                                       ",127,59,79,7,53,0.63,52
"
                                        2014-04-21","68
                                       ",88,48,79,7,55,0.58,57
"
                                        2014-04-22","80
                                       ",112,57,101,9,54,0.58,77
"
                                        2014-04-23","149
                                       ",174,112,146,20,41,0.89,87
"
                                        2014-04-24","152
                                       ",177,115,133,18,46,0.92,92
"
                                        2014-04-25","175
                                       ",179,129,189,20,68,1.03,76
"
                                        2014-04-26","65
                                       ",102,37,82,4,27,0.35,59
"
                                        2014-04-27","74
                                       ",112,50,91,6,46,0.62,60
"
                                        2014-04-28","84
                                       ",138,61,97,7,49,0.72,79
"
                                        2014-04-29","118
                                       ",169,89,143,17,67,0.94,86
"
                                        2014-04-30","139
                                       ",175,102,158,19,66,0.97,93
"
                                        2014-05-01","166
                                       ",176,121,186,18,41,0.85,95
"
                                        2014-05-02","48
                                       ",17,22,45,2,21,0.29,73
"
                                        2014-05-03","94
                                       ",137,36,128,5,42,0.42,49
"
                                        2014-05-04","55
                                       ",43,25,59,3,17,0.34,72
"
                                        2014-05-05","50
                                       ",44,23,54,3,37,0.44,59
"
                                        2014-05-06","99
                                       ",155,73,124,26,61,0.92,62
"
                                        2014-05-07","95
                                       ",135,62,102,11,45,0.91,62
"
                                        2014-05-08","102
                                       ",115,74,107,15,46,0.99,91
"
                                        2014-05-09","88
                                       ",121,61,106,33,52,1.33,80
"
                                        2014-05-10","72
                                       ",145,50,87,27,50,1.17,75
"
                                        2014-05-11","45
                                       ",52,24,20,3,29,0.82,68
"
                                        2014-05-12","60
                                       ",53,34,68,6,43,0.65,68
"
                                        2014-05-13","89
                                       ",113,51,123,10,56,0.65,62
"
                                        2014-05-14","55
                                       ",48,17,62,7,26,0.29,69
"
                                        2014-05-15","116
                                       ",177,59,180,7,60,0.55,51
"
                                        2014-05-16","92
                                       ",99,47,128,9,50,0.57,80
"
                                        2014-05-17","98
                                       ",118,55,120,23,59,0.97,102
"
                                        2014-05-18","112
                                       ",153,79,145,23,55,0.94,125
"
                                        2014-05-19","140
                                       ",166,104,156,14,43,0.98,143
